-8.350944253669824219e+12,2.010850432402386475e+10
4.377458750227890778e+10,2.290726621398348999e+10
-8.341023386136167969e+12,2.468353441552240753e+10
5.088601029726952362e+10,2.569371381440102386e+10
5.547116514496736145e+10,2.670580321117837524e+10
5.647640459066344452e+10,2.951194222516792297e+10
5.902182084718367004e+10,3.104022380195745468e+10
6.054752216485597229e+10,3.103477235596715546e+10
6.105358597784731293e+10,3.103163439300524521e+10
6.028398078815272522e+10,3.103074728550472641e+10
-8.329345277581563477e+12,3.077601738464107132e+10
5.773353026063095093e+10,2.975546063533549500e+10
5.595232725074763489e+10,2.899299947132502365e+10
5.366267735755841827e+10,2.746440027279226685e+10
5.060841055511529541e+10,2.619352337456130219e+10
4.704509153386575317e+10,2.390018240926345062e+10
4.194831653394644165e+10,2.135214429411781311e+10
3.890161955351094055e+10,1.931725420485421753e+10
3.355244105184075546e+10,1.702720117894382095e+10
-8.358867543988732422e+12,1.550572119929075432e+10
2.541712076437324524e+10,1.244855031131053734e+10
-8.367770092695492188e+12,1.067150269710003853e+10
1.651430323848576546e+10,8.126205038233263969e+09
1.193384296543164825e+10,6.604471466839987755e+09
7.864076382327149391e+09,4.314100432212045670e+09
4.304631321898394585e+09,1.510890285453876495e+09
9.990885081276415586e+08,4.985611260447806120e+08
-1.284862241597687244e+09,-1.026979588261465907e+09
-3.827453303876360416e+09,-3.065918314180311203e+09
-6.884933040533559799e+09,-3.570332318752616405e+09
-8.153425194396536827e+09,-4.332314694497169495e+09
-8.913007038926963806e+09,-5.095911870293766022e+09
-1.018775626740783501e+10,-5.349123610845962524e+09
-9.673579118825763702e+09,-5.091965530472406387e+09
-9.674366632616249084e+09,-4.836312836418392181e+09
-8.653963383429859161e+09,-4.582165949100956917e+09
-7.380104966423784256e+09,-4.073322369039034367e+09
-6.108542970678663254e+09,-3.309657914517770767e+09
-4.070935574799288273e+09,-2.291032954029306412e+09
-2.290894382543990135e+09,-1.273214263735711575e+09
