5.385043057765410701e-01,-9.107006160727308952e-01,-5.685209456232072078e-01,-3.521771636182724485e-02
4.869466741767700668e-01,-7.568792673027247009e-01,-5.166009745452413426e-01,-2.896319544063774912e-02
4.347160716785968271e-01,-6.107544662504877930e-01,-4.636546393819267475e-01,-2.268471569910482377e-02
3.832334121004112304e-01,-1.292570527851244488e-01,-4.108798093264612317e-01,-1.702644709833628714e-02
3.333931352853957142e-01,-3.806418633014204689e-01,-3.593214773816994501e-01,-1.292984772340315287e-02
2.862128132012305426e-01,-2.932472074213299251e-01,-3.097892379426363529e-01,-9.766414006732618974e-03
2.421767315267977783e-01,-2.045348417798105167e-01,-2.628794473137885390e-01,-7.074839967309592970e-03
2.015406231242307666e-01,-1.209143841177999085e-01,-2.190121289960683670e-01,-4.595715307913626237e-03
1.643970196586731491e-01,-5.897601606217460490e-02,-1.785049890931952321e-01,-2.250703255372228304e-03
1.307083377290950976e-01,-8.882803791894801348e-03,-1.416214272393285234e-01,-6.560160910854245103e-05
1.004142416004062677e-01,2.930580759869575933e-02,-1.085728197088469266e-01,1.908210182442160799e-03
7.360894016175151267e-02,5.504788770933390085e-02,-7.953959408815962362e-02,3.649443825792992192e-03
5.041632605576413378e-02,6.849151816388293623e-02,-5.468741712241997899e-02,5.164531909095971228e-03
3.097642921039236996e-02,7.091739791104659241e-02,-3.405471687561367755e-02,6.252073299008611626e-03
1.540796339754147218e-02,6.459242103833524873e-02,-1.762196105994785073e-02,6.732953915041379328e-03
3.770569737596313545e-03,5.236260076262320290e-02,-5.316316826435343521e-03,6.458703055473895109e-03
-3.998891541088803181e-03,3.719776726794749022e-02,2.989869059432441641e-03,5.351979569734427802e-03
-8.074484293463274343e-03,2.168599292857104760e-02,7.475573403744922157e-03,3.523181588487942634e-03
-8.638591940883601217e-03,8.344774680048985122e-03,8.358818052838267246e-03,1.434113200093691497e-03
-5.886626201467709540e-03,-4.441097754694606990e-05,5.819461679711338160e-03,-4.453898125711179231e-05
