9.000000000000000222e-01,1.199999999999999956e+00,3.500000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.999999999999999778e-01,3.799999999999999822e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.375000000000000000e+00,3.526925215288827076e+00,-4.553503080363655031e-02,5.000000000000000000e-01,7.900000000000000355e-01,3.771573952718839440e+00,-1.760885818091362243e-03
8.919728422255306377e-01,1.551163470741422801e+00,3.551272548997665535e+00,-8.337899416877278536e-02,4.996679346173457104e-01,9.785784052712549475e-01,3.745743903991577195e+00,-3.209045590123249525e-03
8.771849138945594371e-01,1.728110239485129984e+00,3.573008352581595215e+00,-1.139167174812971695e-01,4.990669225010396781e-01,1.165864636132365462e+00,3.722561172022480935e+00,-4.343281375078490887e-03
8.568776326564129242e-01,1.905602735235681244e+00,3.592170023186615602e+00,-1.203795701205533919e-01,4.982585185123781790e-01,1.351990939167736050e+00,3.702017181556157777e+00,-5.194603729995305418e-03
8.353086203290547296e-01,2.083911432151797971e+00,3.608839679950885504e+00,-1.394116632856244320e-01,4.972969972236678804e-01,1.537089300878891729e+00,3.684051107687072779e+00,-5.841096116165463148e-03
8.102343101890510102e-01,2.262602754157017060e+00,3.623150320610946995e+00,-1.540740236566909283e-01,4.962210585110675143e-01,1.721288713923593283e+00,3.668561645789941039e+00,-6.329416816502094270e-03
7.824329433808103751e-01,2.441614289031035057e+00,3.635259157187286760e+00,-1.643007657456814485e-01,4.950600734742455766e-01,1.904713122021716387e+00,3.655417673424251390e+00,-6.683158814867574266e-03
7.527033298816655504e-01,2.620929438784134646e+00,3.645336188343498485e+00,-1.703464849515714530e-01,4.938385957247894420e-01,2.087479924012842325e+00,3.644467066974447889e+00,-6.912944580263255707e-03
7.218047624140978558e-01,2.800558134552848077e+00,3.653556039326432359e+00,-1.732952857546801728e-01,4.925789058150947253e-01,2.269698923260957901e+00,3.635541817519788221e+00,-7.025479743031867209e-03
6.903057736900702901e-01,2.980499772426382421e+00,3.660091456212887007e+00,-1.737394259442749112e-01,4.913018450508512269e-01,2.451471528136230926e+00,3.628460746157821770e+00,-7.028759823487294722e-03
6.586703809716552005e-01,3.160749253971151695e+00,3.665112168292907313e+00,-1.722741355643401251e-01,4.900266765948502745e-01,2.632890083999266384e+00,3.623032105172379502e+00,-6.933349314365186769e-03
6.272561066094374249e-01,3.341292216674540239e+00,3.668792615300994875e+00,-1.695217411788734196e-01,4.887706992995411448e-01,2.814037335175783472e+00,3.619055125467971479e+00,-6.750877123075537355e-03
5.963078294604231555e-01,3.522102344368553961e+00,3.671313431603782984e+00,-1.660971652706792756e-01,4.875491187556951767e-01,2.994985968063448301e+00,3.616320754611850319e+00,-6.492650527620738750e-03
5.659580916899300540e-01,3.703141702520167389e+00,3.672862253064302696e+00,-1.625512953751269418e-01,4.863751516609633452e-01,3.175798194701614285e+00,3.614618018768069430e+00,-6.180046862670308255e-03
5.362379525965791371e-01,3.884363958761594127e+00,3.673632651234179924e+00,-1.593216743232101773e-01,4.852582333334027886e-01,3.356525644325230040e+00,3.613736920715072021e+00,-5.843399166918239636e-03
5.070971355706906936e-01,4.065719286567529345e+00,3.673821179721059593e+00,-1.567035442850790161e-01,4.842024139763755342e-01,3.537209405565230558e+00,3.613471104873750228e+00,-5.520464014144545010e-03
4.784297585919781159e-01,4.247159598098837030e+00,3.673621235144004959e+00,-1.548436559216816444e-01,4.832050171823946694e-01,3.717880207755371647e+00,3.613620598326722000e+00,-5.252865035657823707e-03
4.501014315545350808e-01,4.428643036284011458e+00,3.673217510929331908e+00,-1.537593562752530840e-01,4.822559284823906278e-01,3.898558744948552146e+00,3.613994376996909175e+00,-5.076705956233426575e-03
4.219729951624433539e-01,4.610137136112713030e+00,3.672785581332287830e+00,-1.533421175412506277e-01,4.813385730839191967e-01,4.079256135221588586e+00,3.614412317899551308e+00,-5.005000296228741957e-03
3.939235862719629999e-01,4.791621613346994657e+00,3.672491250022214437e+00,-1.533443380901279851e-01,4.804340701241452960e-01,4.259974487593050085e+00,3.614703290983536821e+00,-5.007227245291597309e-03
