1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.142554719589726639e+10
1.071277360794863343e+09,4.132478232133612061e+10
3.137516476861669540e+09,6.006211903908598328e+10
6.140622428815969467e+09,-9.989349708067240234e+12
-4.933268629745460815e+11,-9.923854996119121094e+12
-9.895196127805021973e+11,-1.654581324568275781e+13
-1.816810275064640137e+12,-1.640058783655982227e+13
-2.636839666892631348e+12,-2.628257362222094531e+13
-3.950968348003678711e+12,-2.600903152660536719e+13
-5.251419924333947266e+12,-2.567308118927664062e+13
-6.535073983797779297e+12,-2.527541219467012891e+13
-7.798844593531286133e+12,-2.481676422346152344e+13
-9.039682804704363281e+12,-3.100911909081164062e+13
-1.059013875924494531e+13,-4.046523342418998438e+13
-1.261340043045444531e+13,-4.979745612249121094e+13
-1.510327323657900586e+13,-4.891664285331300000e+13
-1.754910537924465625e+13,-4.791675689710251562e+13
-1.994494322409978125e+13,-4.680059709517408594e+13
-2.228497307885848438e+13,-4.557063163888914844e+13
-2.456350466080294141e+13,-4.423032381356287500e+13
-2.677502085148108594e+13,-4.278319930273198438e+13
-2.891418081661768359e+13,-4.123293959312984375e+13
-3.097582779627417578e+13,-3.958347473172360938e+13
-3.295500153286035547e+13,-3.783938247933777344e+13
-3.484697065682724219e+13,-3.600474878464581250e+13
-3.664720809605953125e+13,-3.408459246153791797e+13
-3.835143771913642969e+13,-3.208382628499354297e+13
-3.995562903338610938e+13,-3.000734732442319531e+13
-4.145599639960726562e+13,-2.786074149031583203e+13
-4.284903347412305469e+13,-2.564934637247365234e+13
