-2.304853347546824662e+05,3.951762682242261362e+05
-2.231295275927998009e+05,3.822448412310954882e+05
-2.157403655600234051e+05,3.692883237400046200e+05
-2.083190823811200680e+05,3.563077431673065294e+05
-2.008669267031315539e+05,3.433038289335463778e+05
-1.933849236830305017e+05,3.302775488761255983e+05
-1.858743518022016797e+05,3.172298112542328890e+05
-1.783363554598231858e+05,3.041614200227087131e+05
-1.707720492711111146e+05,2.910732983693513670e+05
-1.631826074732280977e+05,2.779663098774385289e+05
-1.555692639144581335e+05,2.648413330505476915e+05
-1.479330736546877888e+05,2.516992464014258294e+05
-1.402752556830222311e+05,2.385409433540850587e+05
-1.325969246868971968e+05,2.253671832339314569e+05
-1.248992996755617933e+05,2.121790084876309265e+05
-1.171834357619623333e+05,1.989771039640082454e+05
-1.094504774805926718e+05,1.857624376222020073e+05
-1.017017034819076507e+05,1.725358284288916038e+05
-9.393806459907950193e+04,1.592981549581686850e+05
-8.616085441022747546e+04,1.460502510852386185e+05
-7.837112807582969253e+04,1.327930252029680996e+05
-7.057008977711376792e+04,1.195272366972091113e+05
-6.275883940086757502e+04,1.062538684694409603e+05
-5.493850663351907133e+04,9.297363521572777245e+04
-4.711025097928001196e+04,7.968749004619369225e+04
-3.927517233412913629e+04,6.639623707301112881e+04
-3.143441530664503443e+04,5.310074000303899084e+04
-2.358915431137731503e+04,3.980184765287475602e+04
-1.574050416006400701e+04,2.650040883823834156e+04
-7.889564765129363877e+03,1.319728728147140282e+04
